wavelength_nm,x_centroid_px,x_peak_px,displacement_px,filepath,dispersion_px_per_nm,resolution_nm
413,384.964301,389,0.0,scan_blocks_output/B2_0411_0450/00001_0413nm.npy,0.5467050000000029,7.316560119259892
415,386.057711,389,1.09341,scan_blocks_output/B2_0411_0450/00002_0415nm.npy,0.7233335000000096,5.529952642867981
417,387.857635,389,2.893334,scan_blocks_output/B2_0411_0450/00003_0417nm.npy,1.649842250000006,2.4244742186715036
419,392.65708,401,7.692778,scan_blocks_output/B2_0411_0450/00004_0419nm.npy,1.6059022499999998,2.490811629412687
421,394.281244,402,9.316943,scan_blocks_output/B2_0411_0450/00005_0421nm.npy,1.1847374999999971,3.3762753352535984
423,397.39603,406,12.431729,scan_blocks_output/B2_0411_0450/00006_0423nm.npy,1.105995749999991,3.616650425645878
425,398.705227,406,13.740926,scan_blocks_output/B2_0411_0450/00007_0425nm.npy,0.8663792499999943,4.616915744461823
427,400.861547,406,15.897245,scan_blocks_output/B2_0411_0450/00008_0427nm.npy,0.9473265000000026,4.222409063823284
429,402.494533,406,17.530232,scan_blocks_output/B2_0411_0450/00009_0429nm.npy,1.5541370000000114,2.5737756709993844
431,407.078095,418,22.113794,scan_blocks_output/B2_0411_0450/00010_0431nm.npy,1.52719175,2.6191864904980005
433,408.6033,418,23.638999,scan_blocks_output/B2_0411_0450/00011_0433nm.npy,0.8371187500000019,4.778294596794052
435,410.42657,418,25.462269,scan_blocks_output/B2_0411_0450/00012_0435nm.npy,0.773693250000008,5.170007622529935
437,411.698073,418,26.733772,scan_blocks_output/B2_0411_0450/00013_0437nm.npy,0.7376782499999877,5.422418242641784
439,413.377283,418,28.412982,scan_blocks_output/B2_0411_0450/00014_0439nm.npy,1.1962279999999907,3.3438441501118774
441,416.482985,423,31.518684,scan_blocks_output/B2_0411_0450/00015_0441nm.npy,1.0752422500000023,3.7200919141709616
443,417.678252,423,32.713951,scan_blocks_output/B2_0411_0450/00016_0443nm.npy,0.7581610000000012,5.275924243003787
445,419.515629,423,34.551328,scan_blocks_output/B2_0411_0450/00017_0445nm.npy,0.8039787499999989,4.975255875854935
447,420.894167,424,35.929865,scan_blocks_output/B2_0411_0450/00018_0447nm.npy,0.7337522500000091,5.451431324401323
449,422.450638,425,37.486337,scan_blocks_output/B2_0411_0450/00019_0449nm.npy,0.6832305000000076,5.8545395733942724
451,423.627089,425,38.662788,scan_blocks_output/B3_0451_0500/00000_0451nm.npy,0.5351822499999912,7.474089434020029
453,424.591367,425,39.627066,scan_blocks_output/B3_0451_0500/00001_0453nm.npy,0.4475414999999998,8.937718624976682
455,425.417255,425,40.452953,scan_blocks_output/B3_0451_0500/00002_0455nm.npy,0.41064174999999636,9.740850753728854
457,426.233934,425,41.269633,scan_blocks_output/B3_0451_0500/00003_0457nm.npy,0.4691702499999906,8.525689768266595
459,427.293936,425,42.329634,scan_blocks_output/B3_0451_0500/00004_0459nm.npy,0.4152245000000079,9.633342926537148
461,427.894832,425,42.930531,scan_blocks_output/B3_0451_0500/00005_0461nm.npy,0.8944532500000122,4.472005663795112
463,430.871749,435,45.907448,scan_blocks_output/B3_0451_0500/00006_0463nm.npy,1.040046750000002,3.845980961913484
465,432.055019,435,47.090718,scan_blocks_output/B3_0451_0500/00007_0465nm.npy,0.545390249999997,7.334197851905167
467,433.05331,435,48.089009,scan_blocks_output/B3_0451_0500/00008_0467nm.npy,0.4599582499999997,8.696441470503036
469,433.894852,435,48.930551,scan_blocks_output/B3_0451_0500/00009_0469nm.npy,0.3598494999999957,11.11575811554566
471,434.492708,435,49.528407,scan_blocks_output/B3_0451_0500/00010_0471nm.npy,0.3118777499999936,12.825538211687373
473,435.142363,435,50.178062,scan_blocks_output/B3_0451_0500/00011_0473nm.npy,0.2914520000000067,13.724386863016578
475,435.658516,435,50.694215,scan_blocks_output/B3_0451_0500/00012_0475nm.npy,0.6680157500000092,5.987882770728002
477,437.814426,439,52.850125,scan_blocks_output/B3_0451_0500/00013_0477nm.npy,0.6703265000000016,5.967241336870899
479,438.339822,439,53.375521,scan_blocks_output/B3_0451_0500/00014_0479nm.npy,0.45790374999999983,8.735460235912026
481,439.646041,441,54.68174,scan_blocks_output/B3_0451_0500/00015_0481nm.npy,0.4785254999999893,8.35901117077374
483,440.253924,441,55.289622,scan_blocks_output/B3_0451_0500/00016_0483nm.npy,0.27975899999999854,14.298020796471324
485,440.765077,441,55.800775,scan_blocks_output/B3_0451_0500/00017_0485nm.npy,0.2747312500000021,14.55968332688753
487,441.352849,441,56.388548,scan_blocks_output/B3_0451_0500/00018_0487nm.npy,0.3736467499999918,10.705298520594887
489,442.259664,441,57.295363,scan_blocks_output/B3_0451_0500/00019_0489nm.npy,0.41415575000000615,9.658202258449727
491,443.009472,441,58.045171,scan_blocks_output/B3_0451_0500/00020_0491nm.npy,0.39004425000000253,10.255246680344536
493,443.819841,441,58.85554,scan_blocks_output/B3_0451_0500/00021_0493nm.npy,0.42531424999999956,9.404810678222054
495,444.710729,441,59.746428,scan_blocks_output/B3_0451_0500/00022_0495nm.npy,0.4406672500000042,9.077143808621953
497,445.58251,441,60.618209,scan_blocks_output/B3_0451_0500/00023_0497nm.npy,0.5103494999999896,7.837766079912064
499,446.752127,441,61.787826,scan_blocks_output/B3_0451_0500/00024_0499nm.npy,0.4673204999999996,8.559436189938177
501,447.451792,441,62.487491,scan_blocks_output/B4_0501_0700/00000_0501nm.npy,0.3626447500000012,11.030078334237533
503,448.202706,441,63.238405,scan_blocks_output/B4_0501_0700/00001_0503nm.npy,0.1538850000000025,25.993436657243624
505,448.067332,441,63.103031,scan_blocks_output/B4_0501_0700/00002_0505nm.npy,0.8254155000000054,4.8460442044036895
507,451.504368,451,66.540067,scan_blocks_output/B4_0501_0700/00003_0507nm.npy,0.9823792499999939,4.07174724018247
